URL,File Size,Number of Outlink,Content Type
https://www.nytimes.com/,1167231,223,text/html
https://www.nytimes.com/section/books,556040,112,text/html
https://www.nytimes.com/section/arts,677087,93,text/html
https://www.nytimes.com/interactive/2021/world/covid-vaccinations-tracker.html,400987,161,text/html
https://www.nytimes.com/interactive/2021/world/covid-cases.html,2211316,210,text/html
https://www.nytimes.com/international/,1167084,224,text/html
https://www.nytimes.com/interactive/2021/09/16/well/family/coronavirus-kids-children.html,197655,40,text/html
https://www.nytimes.com/interactive/2021/us/florida-covid-cases.html,1336314,220,text/html
https://www.nytimes.com/2021/09/19/opinion/revenge-forgiveness-terrorism-biden.html,381783,50,text/html
https://www.nytimes.com/interactive/2020/us/covid-hospitals-near-you.html,307047,158,text/html
https://www.nytimes.com/2021/09/18/arts/music/bennie-pete-dead.html,401539,74,text/html
https://www.nytimes.com/interactive/2021/us/tennessee-covid-cases.html,1345470,220,text/html
https://www.nytimes.com/2021/09/19/health/coronavirus-school-quarantine-testing.html,474630,57,text/html
https://www.nytimes.com/video,422244,52,text/html
https://www.nytimes.com/wirecutter/reviews/best-bluetooth-tracker/,293627,251,text/html
https://www.nytimes.com/sitemap/,127115,203,text/html
https://www.nytimes.com/2021/09/18/opinion/politics/general-milley-woodward.html,310526,52,text/html
https://www.nytimes.com/interactive/2021/us/covid-cases.html,10000000,217,text/html
https://www.nytimes.com/2021/09/19/business/nabisco-union-strike.html,329730,51,text/html
https://www.nytimes.com/section/world,896883,118,text/html
https://www.nytimes.com/2020/09/01/parenting/lgbtq-family-paperwork.html,290499,42,text/html
https://www.nytimes.com/2021/09/17/dining/14-classic-recipes.html,537256,63,text/html
https://www.nytimes.com/section/politics,651363,70,text/html
https://www.nytimes.com/newsletters/rory-smith,91573,36,text/html
https://www.nytimes.com/2021/09/16/arts/music/wajdi-mouawad-oedipe-paris-opera.html,368703,48,text/html
https://www.nytimes.com/section/health,830385,104,text/html
https://www.nytimes.com/puzzles/spelling-bee,49042,29,text/html
https://www.nytimes.com/section/realestate,711063,114,text/html
https://www.nytimes.com/2021/09/19/us/texas-beto-governors-race.html,342587,47,text/html
https://www.nytimes.com/2021/09/19/world/europe/russia-election-google.html,419061,56,text/html
https://www.nytimes.com/international/?action=click&region=editions&pgtype=homepage,1167084,224,text/html
https://www.nytimes.com/privacy/cookie-policy,111482,40,text/html
https://www.nytimes.com/2021/09/19/world/europe/merkel-election-immigration-children.html,451513,50,text/html
https://www.nytimes.com/interactive/2021/us/cdc-mask-guidance-states.html,329030,152,text/html
https://www.nytimes.com/2021/09/19/climate/manchin-climate-biden.html,436169,53,text/html
https://www.nytimes.com/puzzles/vertex,113503,31,text/html
https://www.nytimes.com/wirecutter/,387150,352,text/html
https://www.nytimes.com/live/2021/09/19/world/covid-delta-variant-vaccine?type=styln-live-updates&label=coronavirus%20updates&index=0,2301280,114,text/html
https://www.nytimes.com/2021/09/17/arts/television/emmys-nominees-list-2021.html,764849,73,text/html
https://www.nytimes.com/vi-assets/static-assets/apple-touch-icon-28865b72953380a40aa43318108876cb.png,3148,0,image/png
https://www.nytimes.com/section/nyregion,644193,80,text/html
https://www.nytimes.com/section/opinion,600901,104,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-iphone-114x144-080e7ec6514fdc62bcbb7966d9b257d2.png,2440,0,image/png
https://www.nytimes.com/2021/09/18/opinion/covid-coronavirus-death.html,385701,61,text/html
https://www.nytimes.com/2021/09/18/nyregion/carmines-vaccination-fight.html,315265,42,text/html
https://www.nytimes.com/2021/09/19/world/europe/thousands-evacuated-as-canary-island-volcano-erupts.html,261419,42,text/html
https://www.nytimes.com/2021/09/19/arts/design/violin-venice-grand-canal.html,399894,44,text/html
https://www.nytimes.com/2021/01/06/parenting/family-tv-during-pandemic.html,349083,52,text/html
https://www.nytimes.com/column/the-hunt,269953,55,text/html
https://www.nytimes.com/interactive/2021/us/south-carolina-covid-cases.html,1231787,220,text/html
https://www.nytimes.com/2021/04/01/business/bristol-myers-taxes-irs.html,434013,61,text/html
https://www.nytimes.com/2019/12/30/business/trump-tax-cuts-beat-gilti.html,673807,54,text/html
https://www.nytimes.com/by/jesse-drucker,563205,54,text/html
https://www.nytimes.com/live/2021/09/17/business/economy-stock-market-news,1176115,102,text/html
https://www.nytimes.com/2021/04/07/podcasts/the-daily/tax-scheme-bristol-myers-irs-janet-yellen.html,648759,82,text/html
https://www.nytimes.com/by/chris-cameron,352086,56,text/html
https://www.nytimes.com/2021/09/13/podcasts/the-daily/joe-biden-vaccine-mandates-coronavirus.html?action=click&module=audio-series-bar&region=header&pgtype=article,867124,89,text/html
https://www.nytimes.com/2021/09/15/podcasts/the-daily/mexico-abortion-supreme-court.html?action=click&module=audio-series-bar&region=header&pgtype=article,780403,87,text/html
https://www.nytimes.com/2021/09/17/podcasts/the-daily/broadway-returns-six-musical.html?action=click&module=audio-series-bar&region=header&pgtype=article,609478,86,text/html
https://www.nytimes.com/2021/09/07/podcasts/the-daily/afghanistan-taliban-government.html?action=click&module=audio-series-bar&region=header&pgtype=article,1015577,91,text/html
https://www.nytimes.com/column/the-daily,930995,55,text/html
https://www.nytimes.com/2021/09/11/podcasts/the-daily/special-episode-what-does-it-mean-to-never-forget.html?action=click&module=audio-series-bar&region=header&pgtype=article,395826,84,text/html
https://www.nytimes.com/2021/09/16/podcasts/the-daily/elizabeth-holmes-trial-theranos-silicon-valley.html?action=click&module=audio-series-bar&region=header&pgtype=article,987793,85,text/html
https://www.nytimes.com/2021/09/10/podcasts/the-daily/911-conspiracy-theories-loose-change.html?action=click&module=audio-series-bar&region=header&pgtype=article,1066679,87,text/html
https://www.nytimes.com/2021/09/08/podcasts/the-daily/the-summer-of-delta.html?action=click&module=audio-series-bar&region=header&pgtype=article,858323,90,text/html
https://www.nytimes.com/2021/09/19/podcasts/the-daily/the-sunday-read-the-composer-at-the-frontier-of-movie-music.html?action=click&module=audio-series-bar&region=header&pgtype=article,395872,79,text/html
https://www.nytimes.com/2021/09/14/podcasts/the-daily/nursing-homes-antipsychotics.html?action=click&module=audio-series-bar&region=header&pgtype=article,910531,85,text/html
https://www.nytimes.com/2021/09/09/podcasts/the-daily/counterterrorism-fbi-september-11-terry-albury.html?action=click&module=audio-series-bar&region=header&pgtype=article,974484,88,text/html
https://www.nytimes.com/2018/07/16/podcasts/the-daily/how-do-i-listen-to-the-daily.html,210702,44,text/html
https://www.nytimes.com/2021/09/03/podcasts/the-daily/texas-abortion-law-supreme-court-roe-v-wade.html?action=click&module=audio-series-bar&region=header&pgtype=article,793447,89,text/html
https://www.nytimes.com/interactive/2021/us/perry-kentucky-covid-cases.html,2093217,200,text/html
https://www.nytimes.com/interactive/2021/us/lewis-west-virginia-covid-cases.html,1782022,200,text/html
https://www.nytimes.com/interactive/2021/us/braxton-west-virginia-covid-cases.html,1804465,199,text/html
https://www.nytimes.com/interactive/2021/us/russell-kentucky-covid-cases.html,2102550,199,text/html
https://www.nytimes.com/interactive/2021/us/andrews-texas-covid-cases.html,1096231,199,text/html
https://www.nytimes.com/interactive/2021/us/powell-kentucky-covid-cases.html,2097339,199,text/html
https://www.nytimes.com/interactive/2021/us/rockcastle-kentucky-covid-cases.html,2099771,200,text/html
https://www.nytimes.com/interactive/2021/us/knox-kentucky-covid-cases.html,2108324,200,text/html
https://www.nytimes.com/interactive/2021/us/whitley-kentucky-covid-cases.html,2099139,200,text/html
